,price,rating,screen_size,brand,tv_size,tv_type,resolution,pixels,hd,is_smart,led_type,resolution_type,screen_pixels,has_wifi,has_ethernet,num_speakers,speaker_output,processor_core,processor_ram,processor_inbuilt_storage,is_ultra_slim,viewing_angle,num_hdmi_ports,num_usb_ports
0,14999,53,32.0,acer,32in, QLED TV,1366x768pixels,missing,HD,1,QLED,missing,1366x768,1.0,1.0,2,30.0,4.0,1.5,16,1.0,178.0,2.0,2.0
1,9999,53,43.0,xiaomi,43in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,2,16.0,,1,8,0.0,178.0,2.0,2.0
2,31990,65,43.0,lg,43in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,,,3.0,2.0
3,38900,63,43.0,samsung,43in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,2.0,1.0
4,16249,48,32.0,lg,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,16.0,,,,0.0,178.0,3.0,2.0
5,33950,67,43.0,lg,43in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
6,23999,72,43.0,xiaomi,43in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,30.0,,2,16,0.0,178.0,3.0,2.0
7,6699,41,32.0,redmi,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,0.0,2,20.0,4.0,1,8,,,1.0,2.0
8,9999,49,32.0,xiaomi,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,20.0,,1,8,0.0,178.0,3.0,2.0
9,61990,68,55.0,samsung,55in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,1.0
10,15715,46,32.0,lg,32in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,0.0,2,6.0,,,,,,3.0,2.0
11,64490,72,55.0,sony,55in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,10.0,,,16,,,3.0,2.0
12,14990,40,32.0,samsung,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,0.0,2,20.0,,,,,,2.0,1.0
13,44990,67,55.0,lg,55in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,,,3.0,2.0
14,40990,69,65.0,xiaomi,65in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,4,,,3,32,0.0,178.0,3.0,2.0
15,26999,64,43.0,redmi,43in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
16,33490,64,43.0,samsung,43in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,0.0,2,20.0,,,,0.0,178.0,3.0,1.0
17,43290,73,55.0,tcl,55in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,,56.0,4.0,2,16,1.0,,3.0,1.0
18,46540,64,43.0,sony,43in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,1.0
