,brand,tv_type,resolution,resolution_type,x_resolution,y_resolution,screen_size,processor_core,processor_ram,processor_inbuilt_storage,num_speakers,speaker_output,hd,has_wifi,has_ethernet,is_smart,is_ultra_slim,viewing_angle,num_hdmi_ports,num_usb_ports,rating,price
0,acer,qled,,missing,1366,768,32.0,4.0,1.5,16.0,2.0,30.0,HD,1.0,1.0,1.0,1.0,178.0,2.0,2.0,53.0,14999.0
1,xiaomi,led,Full HD,missing,1920,1080,43.0,,1.0,8.0,2.0,16.0,Full HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,53.0,9999.0
2,lg,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,65.0,31990.0
3,samsung,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,2.0,1.0,63.0,38900.0
4,lg,led,,missing,1366,768,32.0,,,,2.0,16.0,HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,48.0,16249.0
5,lg,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,67.0,33950.0
6,xiaomi,led,4K Resolution,4K Resolution,3840,2160,43.0,,2.0,16.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,72.0,23999.0
7,redmi,led,,missing,1366,768,32.0,4.0,1.0,8.0,2.0,20.0,HD,1.0,0.0,1.0,,,1.0,2.0,41.0,6699.0
8,xiaomi,led,,missing,1366,768,32.0,,1.0,8.0,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,49.0,9999.0
9,samsung,led,4K Resolution,4K Resolution,3840,2160,55.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,1.0,68.0,61990.0
10,lg,led,Full HD,missing,1920,1080,32.0,,,,2.0,6.0,Full HD,1.0,0.0,1.0,,,3.0,2.0,46.0,15715.0
11,sony,led,4K Resolution,4K Resolution,3840,2160,55.0,,,16.0,2.0,10.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,72.0,64490.0
12,samsung,led,,missing,1366,768,32.0,,,,2.0,20.0,HD,1.0,0.0,1.0,,,2.0,1.0,40.0,14990.0
13,lg,led,4K Resolution,4K Resolution,3840,2160,55.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,67.0,44990.0
14,xiaomi,qled,4K Resolution,4K Resolution,3840,2160,65.0,,3.0,32.0,4.0,,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,69.0,40990.0
15,redmi,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,64.0,26999.0
16,samsung,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,1.0,64.0,33490.0
17,tcl,qled,4K Resolution,4K Resolution,3840,2160,55.0,4.0,2.0,16.0,,56.0,Ultra HD,1.0,1.0,1.0,1.0,,3.0,1.0,73.0,43290.0
18,sony,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,1.0,64.0,46540.0
19,xiaomi,led,,missing,1366,768,32.0,4.0,1.5,8.0,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,50.0,12999.0
20,acer,qled,4K Resolution,4K Resolution,3840,2160,43.0,4.0,2.0,16.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,72.0,28999.0
21,lg,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,1.0,178.0,3.0,2.0,70.0,42990.0
22,haier,led,,missing,1366,768,32.0,,,,2.0,10.0,HD,,,1.0,,,3.0,2.0,41.0,11880.0
23,samsung,micro led,8K Resolution,8K Resolution,7680,4320,292.0,,,,,,Ultra HD,1.0,0.0,1.0,1.0,178.0,,,79.0,8800000.0
24,haier,led,4K Resolution,4K Resolution,3840,2160,43.0,,2.0,32.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,68.0,30990.0
25,tcl,qled,4K Resolution,4K Resolution,3840,2160,55.0,4.0,2.0,16.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,1.0,76.0,43990.0
